epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,63.5822,1.0292,1.92698,1.34287,0.59476,0.85,0.84885,0.632,1.63551,1.06246,1.3769,0,0,0,0
2,76.9876,1.26321,2.46371,1.61166,0.57815,0.85,0.84751,0.63122,1.64481,1.05222,1.37761,1.07219e-06,1.07219e-06,1.07219e-06,1.07219e-06
3,87.167,0.77701,2.0949,1.20171,0.59134,0.85,0.84923,0.65009,1.65811,1.05957,1.38089,1.90876e-06,1.90876e-06,1.90876e-06,1.90876e-06
4,97.042,0.98232,1.64549,1.24015,0.61386,0.85,0.84945,0.65005,1.65601,1.05431,1.37999,2.50971e-06,2.50971e-06,2.50971e-06,2.50971e-06
5,106.461,0.74585,1.81687,1.10006,0.62268,0.85,0.87831,0.6536,1.63149,1.0357,1.3642,2.87504e-06,2.87504e-06,2.87504e-06,2.87504e-06
6,119.481,1.2289,2.65495,1.52765,0.63665,0.85,0.8527,0.65155,1.60938,1.01944,1.34394,3.00475e-06,3.00475e-06,3.00475e-06,3.00475e-06
7,129.827,1.19468,1.95438,1.38711,0.64989,0.85,0.85289,0.6345,1.59109,1.01268,1.33442,2.89884e-06,2.89884e-06,2.89884e-06,2.89884e-06
8,138.857,0.93109,1.77762,1.29756,0.65135,0.85,0.85508,0.63523,1.60261,1.02081,1.33998,2.55731e-06,2.55731e-06,2.55731e-06,2.55731e-06
9,147.439,1.08194,1.76548,1.31546,0.66075,0.85,0.85737,0.63533,1.57931,1.0054,1.32847,1.98016e-06,1.98016e-06,1.98016e-06,1.98016e-06
10,156.702,1.06177,2.26548,1.35517,0.66752,0.85,0.85532,0.63586,1.5692,0.99504,1.3219,1.16739e-06,1.16739e-06,1.16739e-06,1.16739e-06
